corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,LLL,Holofernes_LLL,17,
shakedracor,LLL,Dull_LLL,4,
shakedracor,LLL,Princess_LLL,10,
shakedracor,LLL,Katherine_LLL,13,
shakedracor,LLL,LORDS.0_LLL,11,
shakedracor,LLL,Jaquenetta_LLL,8,
shakedracor,LLL,Costard_LLL,5,
shakedracor,LLL,Armado_LLL,6,
shakedracor,LLL,King_LLL,0,
shakedracor,LLL,Boyet_LLL,9,
shakedracor,LLL,Longaville_LLL,1,
shakedracor,LLL,Dumaine_LLL,2,
shakedracor,LLL,Marcade_LLL,18,
shakedracor,LLL,Spring_LLL,19,
shakedracor,LLL,Berowne_LLL,3,
shakedracor,LLL,Rosaline_LLL,14,
shakedracor,LLL,Winter_LLL,20,
shakedracor,LLL,Forester_LLL,15,
shakedracor,LLL,Maria_LLL,12,
shakedracor,LLL,Boy_LLL,7,
shakedracor,LLL,Nathaniel_LLL,16,
