corpus,drama,Entity.surface,Entity.id,Entity.group_members
shakedracor,TGV,OUTLAWS.1_TGV,12,
shakedracor,TGV,OUTLAWS.2_TGV,13,
shakedracor,TGV,SERVANTS.1_TGV,11,
shakedracor,TGV,Lance_TGV,8,
shakedracor,TGV,Antonio_TGV,5,
shakedracor,TGV,Proteus_TGV,1,
shakedracor,TGV,Thurio_TGV,9,
shakedracor,TGV,Sylvia_TGV,7,
shakedracor,TGV,Host_TGV,15,
shakedracor,TGV,Lucetta_TGV,4,
shakedracor,TGV,Duke_TGV,10,
shakedracor,TGV,Eglamour_TGV,16,
shakedracor,TGV,OUTLAWS.3_TGV,14,
shakedracor,TGV,Speed_TGV,2,
shakedracor,TGV,Julia_TGV,3,
shakedracor,TGV,Pantino_TGV,6,
shakedracor,TGV,Valentine_TGV,0,
